"nTrees","mNodes","mTry","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rF_mod.SE","nDesirability"
300,10,9,0.8453,0.6879,0.8156,0.7515,0.9333,0.9349,0.8225,0.3623,0.7751,0.0203,0.888672322861729
300,10,10,0.8707,0.7398,0.8559,0.8212,0.9167,0.9167,0.861,0.3964,0.8079,0.0153,0.926278376519147
300,11,2,0.871,0.7409,0.8575,0.8227,0.9167,0.9121,0.8599,0.3967,0.8083,0.0182,0.926736986929603
300,11,3,0.8627,0.7245,0.8484,0.8061,0.9167,0.9127,0.8467,0.3884,0.7984,0.0147,0.91538637927081
300,11,4,0.8543,0.7085,0.845,0.8242,0.8833,0.8867,0.8567,0.3971,0.7908,0.0196,0.906672781472139
300,11,5,0.8801,0.7595,0.8714,0.8409,0.9167,0.9208,0.8699,0.4054,0.8205,0.0161,0.940724604448521
300,11,6,0.8801,0.7595,0.8673,0.8242,0.9333,0.9349,0.8627,0.3971,0.8195,0.0165,0.93957807842238
300,11,7,0.8801,0.7595,0.8714,0.8409,0.9167,0.9208,0.8699,0.4054,0.8205,0.0161,0.940724604448521
300,11,8,0.8627,0.7243,0.8462,0.8061,0.9167,0.9099,0.8494,0.3884,0.7979,0.0202,0.914813116257739
300,11,9,0.854,0.7058,0.8285,0.7697,0.9333,0.9349,0.8325,0.371,0.7862,0.02,0.901398761751892
300,12,2,0.8793,0.7579,0.8699,0.8394,0.9167,0.9167,0.8692,0.4051,0.8192,0.0107,0.939234120614538
300,12,3,0.8623,0.7233,0.847,0.8045,0.9167,0.9121,0.8467,0.388,0.7976,0.0155,0.914469158449897
300,12,4,0.8453,0.6885,0.8206,0.7697,0.9167,0.9063,0.8288,0.371,0.7754,0.0227,0.889016280669571
300,12,5,0.8714,0.7412,0.8505,0.8061,0.9333,0.9349,0.8571,0.3884,0.8078,0.0232,0.926163723916533
300,12,6,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
300,12,7,0.854,0.706,0.83,0.7697,0.9333,0.9349,0.8313,0.371,0.7864,0.0181,0.90162806695712
300,12,8,0.862,0.7215,0.8395,0.7848,0.9333,0.939,0.8418,0.379,0.7962,0.0153,0.9128640220133
300,12,9,0.854,0.706,0.83,0.7697,0.9333,0.9349,0.8313,0.371,0.7864,0.0181,0.90162806695712
300,12,10,0.854,0.706,0.83,0.7697,0.9333,0.9349,0.8313,0.371,0.7864,0.0181,0.90162806695712
300,13,2,0.8533,0.7052,0.8389,0.803,0.9,0.9035,0.8473,0.3877,0.7881,0.0147,0.903577161201559
300,13,3,0.8793,0.7575,0.8668,0.8212,0.9333,0.939,0.8607,0.3964,0.8187,0.0081,0.938660857601468
300,13,4,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
300,13,5,0.8707,0.7396,0.8539,0.803,0.9333,0.939,0.8507,0.3877,0.8076,0.0109,0.925934418711305
300,13,6,0.8707,0.7396,0.8539,0.803,0.9333,0.939,0.8507,0.3877,0.8076,0.0109,0.925934418711305
300,13,7,0.8449,0.6872,0.8187,0.7682,0.9167,0.9121,0.8296,0.3707,0.775,0.0206,0.888557670259115
300,13,9,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
300,13,10,0.8714,0.7417,0.8557,0.8061,0.9333,0.9349,0.8513,0.3884,0.8086,0.0161,0.927080944737446
300,14,2,0.8627,0.7245,0.8482,0.8061,0.9167,0.9149,0.8473,0.3884,0.7985,0.0127,0.915501031873424
300,14,3,0.9051,0.8095,0.8982,0.8742,0.9333,0.9405,0.8994,0.4221,0.8506,0.0109,0.975235037835359
300,14,4,0.8714,0.7416,0.8586,0.8227,0.9167,0.9208,0.8599,0.3967,0.8094,0.0178,0.927998165558358
300,14,5,0.888,0.7749,0.8759,0.8394,0.9333,0.939,0.8753,0.4051,0.8292,0.0142,0.950699380875946
300,14,6,0.871,0.7408,0.8565,0.8045,0.9333,0.9371,0.8486,0.388,0.8083,0.0096,0.926736986929603
300,14,7,0.8536,0.7046,0.8268,0.7682,0.9333,0.9371,0.8329,0.3707,0.7855,0.0191,0.900596193533593
300,14,8,0.8627,0.7238,0.8428,0.7879,0.9333,0.9349,0.8413,0.3797,0.7975,0.0173,0.914354505847283
300,14,10,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
300,15,2,0.8536,0.7065,0.8413,0.8045,0.9,0.9044,0.8457,0.388,0.7891,0.0116,0.9047236872277
300,15,3,0.8793,0.7573,0.8655,0.8212,0.9333,0.939,0.8621,0.3964,0.8185,0.0116,0.938431552396239
300,15,4,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
300,15,5,0.871,0.7405,0.8541,0.8045,0.9333,0.9371,0.8518,0.388,0.808,0.015,0.926393029121761
300,15,6,0.8623,0.7225,0.8397,0.7864,0.9333,0.9371,0.8429,0.3793,0.7966,0.0185,0.913322632423756
300,15,8,0.8449,0.687,0.8164,0.75,0.9333,0.9371,0.8197,0.362,0.7748,0.0157,0.888328365053887
300,15,9,0.871,0.7405,0.8539,0.8227,0.9167,0.9086,0.8639,0.3967,0.8075,0.0245,0.925819766108691
300,16,2,0.8964,0.7921,0.8898,0.8742,0.9167,0.9183,0.8965,0.4221,0.8402,0.0136,0.963311167163495
300,16,3,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
300,16,4,0.8707,0.7397,0.8552,0.803,0.9333,0.939,0.8492,0.3877,0.8078,0.0071,0.926163723916533
300,16,5,0.854,0.7066,0.8354,0.7879,0.9167,0.9149,0.8373,0.3797,0.7875,0.0138,0.902889245585875
300,16,7,0.8623,0.7232,0.8457,0.8045,0.9167,0.9149,0.8489,0.388,0.7976,0.0158,0.914469158449897
300,16,8,0.854,0.7065,0.8344,0.7879,0.9167,0.9127,0.8384,0.3797,0.7871,0.0176,0.902430635175419
300,16,9,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
300,16,10,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
300,17,2,0.9138,0.8271,0.9087,0.8924,0.9333,0.9405,0.9126,0.4308,0.8613,0.0121,0.987502866315065
300,17,3,0.8793,0.7572,0.8644,0.8212,0.9333,0.939,0.8638,0.3964,0.8183,0.0141,0.938202247191011
300,17,4,0.888,0.7749,0.8759,0.8394,0.9333,0.939,0.8753,0.4051,0.8292,0.0142,0.950699380875946
300,17,5,0.8714,0.7419,0.8568,0.8061,0.9333,0.9349,0.8495,0.3884,0.8087,0.0139,0.92719559734006
300,17,6,0.8623,0.7229,0.8466,0.803,0.9167,0.9238,0.8481,0.3877,0.7982,0.0116,0.915157074065581
300,17,8,0.854,0.7066,0.8354,0.7879,0.9167,0.9149,0.8373,0.3797,0.7875,0.0138,0.902889245585875
300,17,9,0.8627,0.724,0.8439,0.7879,0.9333,0.9349,0.8395,0.3797,0.7977,0.0153,0.914583811052511
300,18,2,0.8971,0.7939,0.8901,0.8591,0.9333,0.9371,0.8846,0.4141,0.8408,0.0127,0.963999082779179
300,18,3,0.9058,0.811,0.9005,0.8758,0.9333,0.9359,0.8941,0.4225,0.851,0.0117,0.975693648245815
300,18,4,0.871,0.7411,0.8585,0.8227,0.9167,0.9149,0.8589,0.3967,0.8087,0.0143,0.92719559734006
300,18,5,0.8536,0.7049,0.8292,0.7682,0.9333,0.9371,0.8297,0.3707,0.7859,0.0153,0.90105480394405
300,18,6,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
300,18,7,0.854,0.7066,0.8354,0.7879,0.9167,0.9149,0.8373,0.3797,0.7875,0.0138,0.902889245585875
300,18,8,0.8453,0.6883,0.8195,0.7515,0.9333,0.9349,0.8181,0.3623,0.7757,0.0144,0.889360238477413
300,18,9,0.854,0.7062,0.8365,0.7864,0.9167,0.9208,0.8353,0.3793,0.7878,0.0137,0.903233203393717
300,18,10,0.8793,0.7572,0.8644,0.8212,0.9333,0.939,0.8638,0.3964,0.8183,0.0141,0.938202247191011
